title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
Introduction to Computers and Engineering Problem Solving,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/1-00s12.jpg,"This course presents the fundamentals of object-oriented software design and development, computational methods and sensing for engineering, and scientific and managerial applications. It cover topics, including design of classes, inheritance, graphical user interfaces, numerical methods, streams, threads, sensors, and data structures. Students use Java® programming language to complete weekly software assignments.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-00-introduction-to-computers-and-engineering-problem-solving-spring-2012/readings,[],[],[],College,MIT
Uncertainty in Engineering,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-010-uncertainty-in-engineering-fall-2008/1-010f08.jpg,"This course gives an introduction to probability and statistics, with emphasis on engineering applications. Course topics include events and their probability, the total probability and Bayes' theorems, discrete and continuous random variables and vectors, uncertainty propagation and conditional analysis. Second-moment representation of uncertainty, random sampling, estimation of distribution parameters (method of moments, maximum likelihood, Bayesian estimation), and simple and multiple linear regression. Concepts illustrated with examples from various areas of engineering and everyday life.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-010-uncertainty-in-engineering-fall-2008/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-010-uncertainty-in-engineering-fall-2008/readings,[],[],[],College,MIT
Project Evaluation,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-011-project-evaluation-spring-2011/1-011s11.jpg,"1.011 Project Evaluation covers methodologies for evaluating civil engineering projects, which typically are large-scale and long-lived and involve many economic, financial, social and environmental factors. The course places an emphasis on dealing with uncertainty. Students learn basic techniques of engineering economics, including net present value analysis, life-cycle costing, benefit-cost analysis, and other approaches to project evaluation. Examples are drawn from both contemporary and historical projects in various fields, including transportation systems, urban development, energy and environmental projects, water resource management, telecommunications systems, and other elements of the public and private projects and programs.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-011-project-evaluation-spring-2011/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-011-project-evaluation-spring-2011/readings,[],[],[],College,MIT
Introduction to Civil Engineering Design,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-012-introduction-to-civil-engineering-design-spring-2002/1-012s02.jpg,"1.012 introduces students to the theory, tools, and techniques of engineering design and creative problem-solving, as well as design issues and practices in civil engineering. The course includes several design cases, with an emphasis on built facilities (e.g., buildings, bridges and roads). Project design explicitly concerns technical approaches as well as consideration of the existing built environment, natural environment, economic and social factors, and expected life span. A large design case is introduced, which is used in the subsequent specialty area design subjects (1.031, 1.041, 1.051) and the capstone design subject (1.013).",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-012-introduction-to-civil-engineering-design-spring-2002/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-012-introduction-to-civil-engineering-design-spring-2002/readings,[],[],[],College,MIT
Computing and Data Analysis for Environmental Applications,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/1-017f03.jpg,"This subject is a computer-oriented introduction to probability and data analysis. It is designed to give students the knowledge and practical experience they need to interpret lab and field data. Basic probability concepts are introduced at the outset because they provide a systematic way to describe uncertainty. They form the basis for the analysis of quantitative data in science and engineering. The MATLAB® programming language is used to perform virtual experiments and to analyze real-world data sets, many downloaded from the web. Programming applications include display and assessment of data sets, investigation of hypotheses, and identification of possible casual relationships between variables. This is the first semester that two courses, Computing and Data Analysis for Environmental Applications (1.017) and Uncertainty in Engineering (1.010), are being jointly offered and taught as a single course.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-017-computing-and-data-analysis-for-environmental-applications-fall-2003/readings,[],[],[],College,MIT
Ecology I: The Earth System,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-018j-ecology-i-the-earth-system-fall-2009/1-018jf09.jpg,"We will cover fundamentals of ecology, considering Earth as an integrated dynamic system. Topics include coevolution of the biosphere, geosphere, atmosphere and oceans; photosynthesis and respiration; the hydrologic, carbon and nitrogen cycles. We will examine the flow of energy and materials through ecosystems; regulation of the distribution and abundance of organisms; structure and function of ecosystems, including evolution and natural selection; metabolic diversity; productivity; trophic dynamics; models of population growth, competition, mutualism and predation. This course is designated as Communication-Intensive; instruction and practice in oral and written communication provided. Biology is a recommended prerequisite.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-018j-ecology-i-the-earth-system-fall-2009/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-018j-ecology-i-the-earth-system-fall-2009/readings,[],[],[],College,MIT
Ecology II: Engineering for Sustainability,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-020-ecology-ii-engineering-for-sustainability-spring-2008/1-020s08.jpg,"This course provides a review of physical, chemical, ecological, and economic principles used to examine interactions between humans and the natural environment. Mass balance concepts are applied to ecology, chemical kinetics, hydrology, and transportation; energy balance concepts are applied to building design, ecology, and climate change; and economic and life cycle concepts are applied to resource evaluation and engineering design. Numerical models are used to integrate concepts and to assess environmental impacts of human activities. Problem sets involve development of MATLAB® models for particular engineering applications. Some experience with computer programming is helpful but not essential.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-020-ecology-ii-engineering-for-sustainability-spring-2008/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-020-ecology-ii-engineering-for-sustainability-spring-2008/readings,[],[],[],College,MIT
Transport Processes,https://ocw.mit.edu/courses/chemical-engineering/10-302-transport-processes-fall-2004/10-302f04.jpg,"This course features downloadable recitation problems, assignments, and exams.",https://ocw.mit.edu/courses/chemical-engineering/10-302-transport-processes-fall-2004/,https://ocw.mit.edu/courses/chemical-engineering/10-302-transport-processes-fall-2004/readings,[],[],[],College,MIT
Separation Processes,https://ocw.mit.edu/courses/chemical-engineering/10-32-separation-processes-spring-2005/10-32s05.jpg,"This course covers the general principles of separation by equilibrium and rate processes. Topics include staged cascades and applications to distillation, absorption, adsorption, and membrane processes. Phase equilibria and the role of diffusion are also covered.",https://ocw.mit.edu/courses/chemical-engineering/10-32-separation-processes-spring-2005/,https://ocw.mit.edu/courses/chemical-engineering/10-32-separation-processes-spring-2005/readings,[],[],[],College,MIT
Mechanics of Material Systems: An Energy Approach,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003/1-033f03.jpg,"1.033 provides an introduction to continuum mechanics and material modeling of engineering materials based on first energy principles: deformation and strain; momentum balance, stress and stress states; elasticity and elasticity bounds; plasticity and yield design. The overarching theme is a unified mechanistic language using thermodynamics, which allows understanding, modeling and design of a large range of engineering materials. This course is offered both to undergraduate (1.033) and graduate (1.57) students.",https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003/,https://ocw.mit.edu/courses/civil-and-environmental-engineering/1-033-mechanics-of-material-systems-an-energy-approach-fall-2003/readings,[],[],[],College,MIT
